timestamp,mem_mb,fs_init_mb,fs_delta_mb,repeat_idx,pair_idx,operation,elapsed_ms,comment
00:29:04,0,64,0,3,5,SNAPSHOT,55.263,
00:29:14,0,64,0,3,5,RESTORE,114.993,
00:29:19,0,64,0,3,0,CLEANUP,317.408,
00:29:45,0,96,0,1,0,BUILD,20627.083,
00:29:50,0,96,0,1,0,INFO.du,618558779.000,du_B=618558779
00:30:00,0,96,0,1,1,SNAPSHOT,70.721,
00:30:11,0,96,0,1,1,RESTORE,115.566,
00:30:21,0,96,0,1,2,SNAPSHOT,53.332,
00:30:31,0,96,0,1,2,RESTORE,114.133,
00:30:41,0,96,0,1,3,SNAPSHOT,53.390,
00:30:51,0,96,0,1,3,RESTORE,116.221,
00:31:01,0,96,0,1,4,SNAPSHOT,52.336,
00:31:12,0,96,0,1,4,RESTORE,117.476,
00:31:22,0,96,0,1,5,SNAPSHOT,54.259,
00:31:32,0,96,0,1,5,RESTORE,113.436,
00:31:37,0,96,0,1,0,CLEANUP,324.153,
00:31:58,0,96,0,2,0,BUILD,20398.092,
00:32:03,0,96,0,2,0,INFO.du,618565003.000,du_B=618565003
00:32:13,0,96,0,2,1,SNAPSHOT,65.866,
00:32:23,0,96,0,2,1,RESTORE,116.388,
00:32:33,0,96,0,2,2,SNAPSHOT,56.883,
00:32:43,0,96,0,2,2,RESTORE,115.964,
00:32:54,0,96,0,2,3,SNAPSHOT,57.698,
00:33:04,0,96,0,2,3,RESTORE,115.000,
00:33:14,0,96,0,2,4,SNAPSHOT,53.459,
00:33:24,0,96,0,2,4,RESTORE,113.883,
00:33:34,0,96,0,2,5,SNAPSHOT,56.674,
00:33:44,0,96,0,2,5,RESTORE,128.022,
00:33:50,0,96,0,2,0,CLEANUP,317.970,
00:34:10,0,96,0,3,0,BUILD,20486.104,
00:34:15,0,96,0,3,0,INFO.du,618571227.000,du_B=618571227
00:34:25,0,96,0,3,1,SNAPSHOT,74.961,
00:34:36,0,96,0,3,1,RESTORE,115.485,
00:34:46,0,96,0,3,2,SNAPSHOT,52.759,
00:34:56,0,96,0,3,2,RESTORE,113.924,
00:35:06,0,96,0,3,3,SNAPSHOT,56.903,
00:35:16,0,96,0,3,3,RESTORE,114.062,
00:35:26,0,96,0,3,4,SNAPSHOT,53.990,
00:35:37,0,96,0,3,4,RESTORE,118.112,
00:35:47,0,96,0,3,5,SNAPSHOT,56.823,
